,DESCRIPTION,CATEGORY
2021,poor lightining in ameya park,Others
2022,"kalyan is a small crowded city, there are tons of rick stands outside kalyan but the most irritating part of the stands are the rick walas who are at times very rude to deal with.",Others
2023,"one junior of mine got married after completing 12th, which is sad because education is everything in today's world and marrying off the girls before completing their education is madness.",Others
2024,once i got into a fight with a stranger because he was catcalling and he was so rude that he started using foul words.,Catcalls/Whistles
2025,"once travelling in rick beside a guy around 15-16 years was sitting next to me,during the course of travel he was trying to come close to me which was freaking me out i then has verbally respond to him.",Touching /Groping
2026,"this occurred last year during isl when we were returning home after a match. since it was late the women's compartment was empty hence we decided to get into the male compartment, there was a drunk man in that compartment and would stare and babble shit since we had male companion with us we felt safe.",Commenting
2027,its very inconvenient travelling in crowded buses with guys try to get a catch at the assets of a women. immediate changes need to be made.,Touching /Groping
2028,it gets really disturbing during the night when you are travelling alone and roads are deserted hence more police are required on the streets,Others
2029,once i off to the market to buy stuff when i sensed someone following me i found a guy secretly following me and whenever i look at him he would pretend using his phone then i had to take an alternate route.,Stalking
2030,once dining with my family there were a group of boys outside the hotel who were hula oohing which was cheap. it was difficult passing through the hotel due to them.,Catcalls/Whistles
2031,"this happened last month when i was going back home from college and it was raining heavily and trains were empty so after i entered the train it occurred to me that i was the only person in that dabba, there was a another boggie beside where few men were standing and during the course of travel i could sense someone staring at me continuously, when i looked around i saw a guy around late 20's staring at me, even when i looked at him he wont stop staring and would give these ugly smiles which would freak me out i eventually started ignoring.",Ogling/Facial Expressions/Staring
2032,The poor lighting conditions in this area gives rise to many petty crimes against the girls of the society.,Commenting
2033,The poor lighting conditions in this area gives rise to many petty crimes against the girls of the society.,Commenting
2034,There is hardly any light on the road and almost all of the street lights are broken. There are often drunken guys walking on the road. Very unsafe.,Others
2035,"My mother was going to the market, and the chain snatcher came and stole the chain from her neck.",Taking pictures
2036,bad lights in the area,Others
2037,we were out for a dinner at this restuarant and we were clicking pictures before we return back home and suddenly a drunk guy starts getting very noisay and tries grabbing my hand,Touching /Groping
2038,I was waiting for the metro when 2 guys looked at me and started commenting how i have dressed and how i look.,Commenting
2039,"i was walking towards ddar station around 10;30 am from podar college and reaching half way, 6 group of boys crossed me, and 2 boys on their bikes came back and passed some disrepectful comments and kissing faces",Commenting
2040,I was being followed by group of men.,Stalking
2041,A guy was staring at me continuously while I was waiting for the train.,Commenting
2042,My sister was going to the market and two chain snatchers came on bike and snatched her gold chain.,Chain Snatching
2043,My Chain was snatched while I was in the rickshaw.,Catcalls/Whistles
2044,While I was travelling in a train one person touched me in an inappropriate manner and I slapped him.,Touching /Groping
2045,senior supervisor tries to get touchy,Others
2046,the local chawl men have been calling her names cause she has seperated from her husband,Commenting
2047,following form saliee school to link view resto,Stalking
2048,winks with flying kisses,Ogling/Facial Expressions/Staring
2049,we were 5 group of girls staanding near gaylords and a car full og hooligans kept whsistling,Catcalls/Whistles
2050,once while travelling in a rickshaw i noticed the rick wala glaring at me now and then which was disturbing.,Ogling/Facial Expressions/Staring
2051,"people at local theater have no manners,i once went out with my frieds to watch a movie when a guy sitting next to me tried touching  my hand.",Touching /Groping
2052,A drunkard tried to grope this girl on the bridge.,Touching /Groping
2053,"marine drive is a famous tourist spot in mumbai, people tend to take many pics so once when i was out with my cousins and we were chilling there when a few group of boys where taking pics and along with that they were trying to take our pics also which is disguisting.",Taking pictures
2054,"there is a famous mall in kalyan called metro juntion..and a section of the mall is food junction,that area is usually filled with lousy boys which makes it uncomfortable to visit.",Ogling/Facial Expressions/Staring
2055,"travelling in buses is difficult,especially during rush hours.",Touching /Groping
2056,i once was trying to get a rick from ghansoli gaon and it was becoming difficult around 7pm since more of these gaon people would roam especially men making any woan uncomfortable.,Ogling/Facial Expressions/Staring
2057,Was on my way to home from work. A guy was blowing whistles at me.,Catcalls/Whistles
2058,no lights at all and drunkards over here,Others
2059,no lights at all and drunkards over here,Others
2060,cheap comments from pann nagar boys,Commenting
2061,"After school, i was walking back to my home, a mid 20's guy, seems to be educated but still did something soo cheap, by making bad comments that makes me afraid to travel alone.",Commenting
2062,"It was around 5p.m. After college i was returning back towards metri station, while i came across some drunk boys, who were taking pictures of mine and commenting. It feels unsafe to travel alone.",Commenting
2063,"Some govt.  School boys were  in group.. They touched me from back in park, it feels unsafe to go out from house alone.",Touching /Groping
2064,"I felt annoying and unsafe.. After that incident, i m afraid to travel alone after college.",Sexual Invites
2065,"After college, i was going for shopping. Where i felt miserable and unsafe, when a stranger was stalking me.. He also took some pictures. Incident lyk this must be stopped by police with strict rules.",Stalking
2066,"There must, be strict rules and punishment for such behavior.i felt really bad.",Indecent exposure
2067,It feels unsafe to travel alone after an incident:'(,Touching /Groping
2068,"Want to cry when, perverts make such comments.",Commenting
2069,"the incident took plae in modinagar,UP.I was on my way to my home wherein i underwent through of the worst situation of my life. i was passing by a street where two bikers came and obstructed by way nd started passing lame comments beyond my imagination.i was awstruck and for a seceond i had jitters but i was not out of my mind and rang up my parents since my house was not far away.my father noted the vehicle number of their bike and filed a complain in the police station.",Commenting
2070,The street lights are poorly lit. It's too difficult to walk through the street as there are higher chances of getting eveteased.,Others
2071,I was coming back from my school with my friends and a boy on scooty slowed down his scooty speed. We felt awkward but decided to ignore him. After walking some distance we saw that boy again. He had parked his scooty along the road side and was constantly staring and had started passing  comments. But this time instead of ignoring we warned him that we will complain about this incident to police if he doesn't stop.,Commenting
2072,"There is no street light available at T point of road near open ground in Sec-3, Vasundhara.This point ids deprived of streetlights unlike  all such types of T points in area .Moreover there are n nubmer of poors residing in slums set in that locality which makes the condition even pathetic.That area gets very dark and creepy at night.Due to this frequent accidents and other unwanted incidents take place .The poor living there are highly affected and always live with a fear and a risk of some mishappening to take place at any point of time during the night.",Others
2073,I was walking with my friend when a guy started whistling at us.,Catcalls/Whistles
2074,"Due to poor lighting, one of the boy starting commenting how i look and all.",Commenting
2075,"When i was coming back from my tuition, 3 guys started following me until i had to walk fast to reach home",Stalking
2076,Due to poor street lighting there are group of boys who comment or stalk girls,Others
2077,Missing street lights in many parts,Others
2078,No street lights in many parts,Others
2079,No street lights in many parts of this area,Others
2080,"When i was waiting for my metro, a guy next to me started commenting about me to his friend which made me very uncomfortable.",Commenting
2081,"While i was waiting for my metro, a guy started commenting about me to his friend which made me very uncomfortable.",Commenting
2082,poor lightings on the street,Others
2083,a group of guys whistling on the beach,Catcalls/Whistles
2084,a group of guys whistling on the beach,Catcalls/Whistles
2085,"I went to meet my boyfriend to that college where a group of men stand near the gate of the college and probably if they find then one attractive, they follow her till she reaches her class or wherever in the college and so did happen with me and whole following they even pass some comments and do body shaping.",Commenting
2086,Two boys were on bike and commented abusive words when i was with my three friends,Commenting
2087,i was walking down to this cafe along with my friend and a guy started singing some tacky bollywood song pointing towards us,Catcalls/Whistles
2088,I went there  for some work with 2 of my girl friends and a group of boys(not more than 25yrs) tried diverting  our attention towards them. But we ignored them and went back home and luckily they didn't followed us.,Catcalls/Whistles
2089,"There is lack of proper lighting in this area, which has made it unsafe to walk out of the metro station at night.",Others
2090,It happened with my friend's brother when he was doing graduation. His immediate neighbor tried to sexually abuse him but he escaped as he informed his parents. A big major incident was prevented because of his alertness.,Catcalls/Whistles
2091,During the afternoon two men came on a bike and snatched my chain and ran away.,Chain Snatching
2092,"A lot of auto drivers at the metro station often misbehave and talk rudely, or even abuse verbally. It feels very unsafe since I travel alone, and often due to work and college I get late.",Commenting
2093,The street is ill lit and infamous for the  huge groups of people on two wheelers who pose a threat to the people walking by.,Others
2094,"The place is extremely unsafe for all the foreign tourists, and I have witnessed people taking pictures, calling names and behaving inappropriately with them.",Catcalls/Whistles
2095,"A guy got on the metro from Kirti nagar and sat beside me, he suddenly started singing songs while looking towards me and my friend and then kept looking for reasons to talk to us, by asking the next metro stations, our names, etc. He then called out a name before getting off the metro and commented on our clothes. He also kept bumping into us intentionally.",Commenting
2096,Me and my friends were coming back from our internship and going towards the Dwarka sector 10 metro station. There is a wine and beer shop where a lot of men hang around and pass comments and behave indecently.,Commenting
2097,whistles,Catcalls/Whistles
2098,I WAS WALKING TO THE STATION AND SUDDENLY SOME GUY RUNS HIS HAND DOWN MY BACK.,Touching /Groping
2099,cheap comments from stranger,Commenting
2100,i had come to my school (gyan kendra)to submit some project and around noon i left. i started walking back to my house and this guy was constantly staring at me till i reached my place. i entered a wrong building and stood there for 5 mins so he would go and i can go back to my real destination,Stalking
2101,dubai is a wonderful country but the men their are mean and harsh towards women. i got horrified by the police men there who were very rude.,Others
2102,thane is a really busy station hence the staircase is always packed with people coming and going on one such day when i was getting down to catch a train. a random guy tried touching my hip. i objected immediately.,Touching /Groping
2103,once while walking on the road on a evening a group of boys on bikes started calling out names and singing.,Catcalls/Whistles
2104,"while shopping at linking road once. i was trying to buy stuff from a crowded market,where a guy was trying to touch my hand on purpose.",Touching /Groping
2105,"once i was at ulhasnagar around 10 pm returning home finishing some work,when walking towards one the road.i found many drunk men on the dim bridge sleeping or staring which is creepy.",Ogling/Facial Expressions/Staring
2106,vashi railway station are deserted for most of the time..it is not like central line when stations are bustling with people. hence it gets a little unsafe to travel.,Others
2107,The service road leading to the junction is extremely dimly lit. Some anti-social elements are often seen loitering around this area!,Touching /Groping
2108,Females usually feel very unsafe in this area at night due to poor street lights.Often there is no electricity.,Others
2109,Due to poor street lights it becomes very creepy and unsafe for not only women but everyone thee.,Others
2110,"There is no proper street lighting in this area and it therefore becomes unsafe for girls, specially at night.",Others
2111,"There is no proper street lighting in this area and it therefore becomes unsafe for girls, specially at night.",Others
2112,"This village hardly gets electricity. Whole of the night there would be no electricity in the village, forget street lights. The village remains under total darkness in the night and is unsafe for girls.",Others
2113,"i was travelling in a crowded bus. when a guy standing very close to me tried making attempts to touch me inappropriately, and when i defended myself he moved forward.",Touching /Groping
2114,once i was walking on the road for an evening stroll when a guy at the bus stop staring singing and calling out names. which was really embarrassing.,Catcalls/Whistles
2115,kurla station really gets scary at night. once i was trying to get a train from kurla station..around 10 pm and their were men staring at me continuously which really freaked me out.,Ogling/Facial Expressions/Staring
2116,i was sitting in the audi completing my journal and two senior guys passed few comments.,Commenting
2117,Touched my body parts,Touching /Groping
2118,Touching my body parts,Touching /Groping
2119,3 men were commenting on me and my friend.,Catcalls/Whistles
2120,Some random guys were clicking pictures of me and my friend while we were returning home from dinner.,Stalking
2121,Was followed by a group of men in a car while I was on my way to home,Ogling/Facial Expressions/Staring
2122,very poor lighting in this area ans unsafe in night,Others
2123,I was trying to get an auto post shopping and there was this guy who was clicking pictures,Taking pictures
2124,"i was standing outside of my college and there was a bunch of cheapster sitting in front of us, they are whistling and commenting",Catcalls/Whistles
2125,"It feels unsafe to travel alone, after such incident happened with me:(",Commenting
2126,"i was coming back from borivali, in the train a guy along with this two were taking pictures",Taking pictures
2127,"I felt, i wana cry out loud. When some boys commented and whistled. It was the worst experience of my life :(",Catcalls/Whistles
2128,"It feels annoying,to hear cheap comments from an stanger.",Commenting
2129,"It feels unsafe to travel even nearby my society, after the incident of groping me in my back in public by a old guy. I wanted to scream, i wanted to cry:'(",Touching /Groping
2130,"It was bright day time, when two bikers snatched my chain, even though it's artificial but it feels unsafe to travel in the city",Chain Snatching
2131,"It feels so annoying and disturbing, when you can't even enjoy weekends with friends, bcz of such terible act. I feel unsafe to travel any more.",Stalking
2132,"It was such an embarrassing and horrible moment for me, when i found Some teenage boys taking vulgar pics of me, in cinema hall:(",Taking pictures
2133,"at Bhayandar station, my relative tried touching me inappropriately",Catcalls/Whistles
2134,It was in Kali temple in Lucknow when a cop took advantage of the crowd and kept touching a girl less than 13 yrs old inappropriately. Due to the crowd she didn't realise it immediately but soon realised he was continuously pressing her breasts.,Stalking
2135,"two girls were ogled at,at Chandivali Junction",Ogling/Facial Expressions/Staring
2136,colleagues in the office used to stare at me,Ogling/Facial Expressions/Staring
2137,"I was traveling from metro station to college, there were boys in street, who were commenting on my dress. It was so shame full and terrifying.",Commenting
2138,I was traveling from dilshad garden to m.v.-3.a guy beside my seat grabed my thigh. It was really horrifying.i cried at that moment :'(,Touching /Groping
2139,i was with my family and was near an amusement park. I was in class 9th and didn't know much about sexual harassment. one person just walked past me and touched me inappropriately.,Touching /Groping
2140,A female friend of mine was touched while returning from tuitions,Touching /Groping
2141,"a group of boys age group 20-30yrs standing &amp; pasing comments at a group of friends.
near Citi Residenci, Durgapur, W.Bengal",Commenting
2142,a person was constantly rubbing his elbow on my body while sitting beside me in the auto,Touching /Groping
2143,sexual harassment on bus from agra to udaipur,Touching /Groping
2144,a guy used to comment at my sister on her way to tuitions,Commenting
2145,"one of my male friends is into modelling. when he went into the green room, someone touched him",Touching /Groping
2146,"when i was with my girlfriend, a group of middle aged men were watching porn in public, they seemed drunk. this was at waiting hall, ISBT, kashmere gate",Others
2147,someone commented vulgarly on my girlfriend in the Mumnai local (central line),Commenting
2148,"I was watching a movie with my friend at Fun Cinemas, Kota, and someone sitting beside me was watching porn on his cell phone",Others
2149,transgenders sexually harassing men in trains,Touching /Groping
2150,the harassment by transgenders in sleeper/general class in trains all over the county,Touching /Groping
2151,"Since i was the only girl training at the Honda plant, everyone used to stare at me",Commenting
2152,"late night(around 11.30)a middle aged guy gave me a lift. During the ride, he pushed himself towards me and tried to hold me by my leg. Thankfully, i escaped.This was between Central Mall and Indore junction station in a dark ally under the bridge",Touching /Groping
2153,passing comments,Commenting
2154,"We came out from mall around 10 pm, We were walking with friends and suddenly two guys on their back tried snatching one of my friends bag. Luckily she was holding it real tight",Others
2155,the localites deal with the stares and comments on a daily basis.,Catcalls/Whistles
2156,I was passing through a street when some men started to pass vulgar comments,Catcalls/Whistles
2157,Returning on a two wheeler from a coaching class alone. A man had just peed along the roadside and he just turned around wriggling his thing towards me. As I was on my vehicle I just preferred ignoring it and drove away though it was very disturbing.,Indecent exposure
2158,It happened to me in 9th class.My private tutor was teaching me maths. he asked to to watch some internet. he started touching my thigh and I felt so uncomfortable. I ran out of there and went home. I told my parents. They scolded him and told me to never share this incident.,Touching /Groping
2159,Whistling while girls go walking from campus to hostel.,Catcalls/Whistles
2160,"I was working as an intern in an organisation. The authority so concerned would touch me inappropriately. Even when I told him not to, he would still stare and pass obscene comments. Finally I gave up and tried to avoid him as much as possible.",Commenting
2161,Elbowing in an inappropriate way.,Touching /Groping
2162,Two guys were taking pictures and whistling while I was with one of my female friend,Catcalls/Whistles
2163,Drunk people in a car commenting on me and my friend.,Catcalls/Whistles
2164,"i was waiting for my friend near a dosa stall, and two guys were whistling at this 18 year old",Catcalls/Whistles
2165,"When i was coming back from shopping, i noticed a guy who was behind me from quite some time and what scared me is he followed me till my house.",Stalking
2166,I was waiting for my bus when i found 2 guys standing a little far from me. first they were acting as if they were clicking selfie but then one of them pointed at me and then i got to know they were clicking my picture. so i quickly moved away.,Taking pictures
2167,"During puja, one of the guy approached my mom's friend and started talking to her and then suddenly snatched her chain and before she could react left the place.",Chain Snatching
2168,whenever i go to my parents place. i observe few men on bike always following me where ever i go. i don't know whether it is intentional or not but it scares me.,Stalking
2169,the security guard of our building keeps staring at me and makes weird faces whenever i see him it is offending.,Ogling/Facial Expressions/Staring
2170,"this happened when when walking on the road one Sunday afternoon,they were few people on the road..all of a sudden two guys masked came on a bike and snatched chain from a lady in her 40's walking few kms away from me, the lady was hurt and taken to hospital.",Chain Snatching
2171,this happens every now and then..there is always a group of boys hanging out in our locality calling out names and singing..they sometimes follow us till the bustop,Catcalls/Whistles
2172,"This incident has happened to me twice in the same area with the same man, over a period of two years. In January 2014, the mentioned man, then a slightly chubby, balding guy, had crossed my path while i was just a block away from my home. He looks decent, and uses a bike which i now realise, has license plates that are half broken or absent. he then crossed me and came back, stood on the opposite side of the road with his penis sticking out of his pants and asking me to take a look. he was masturbating. I was too shocked to react and by the time I did ,, he had taken off on his back. Recently, the same man, who is now balder and fatter, once again crossed my path on the same road, this time i was near my building. the man was once again on a bike, but a nicer looking black and red sports bike. He had worn shorts and t shirt that people wear to a gym. all black. he came back, again maintaining a safe distance from me, this time he said very derogatory and vulgar things about my private parts, along with what he wanted to do with them. seeing him again , triggered memories of 2014 and i was frozen for a second, but once again when i did react he escaped on his bike. to me he now seems like a serial molester, with a modus operandi of targeting girls/women in that area, in the wee hours of morning, on a bike with no plates. I am certain he lives in that area too.",Commenting
2173,"This incident has happened to me twice in the same area with the same man, over a period of two years. In January 2014, the mentioned man, then a slightly chubby, balding guy, had crossed my path while i was just a block away from my home. He looks decent, and uses a bike which i now realise, has license plates that are half broken or absent. he then crossed me and came back, stood on the opposite side of the road with his penis sticking out of his pants and asking me to take a look. he was masturbating. I was too shocked to react and by the time I did ,, he had taken off on his back. Recently, the same man, who is now balder and fatter, once again crossed my path on the same road, this time i was near my building. the man was once again on a bike, but a nicer looking black and red sports bike. He had worn shorts and t shirt that people wear to a gym. all black. he came back, again maintaining a safe distance from me, this time he said very derogatory and vulgar things about my private parts, along with what he wanted to do with them. seeing him again , triggered memories of 2014 and i was frozen for a second, but once again when i did react he escaped on his bike. to me he now seems like a serial molester, with a modus operandi of targeting girls/women in that area, in the wee hours of morning, on a bike with no plates. I am certain he lives in that area too.",Commenting
2174,I see some guyz tease girls in bharat talkies square,Catcalls/Whistles
2175,While going to school some boys were following me and talking rubbish,Rape / Sexual Assault
2176,"While on the way for purchasing books,i was in the bus and my wallet was in the bag and when i depart at the bus stand i got to know that my wallet is no more in the bag",Others
2177,this is a complaint regarding the poor street lights..in ulhasnagar station..where it is difficult to use the bridge in the night.,Others
2178,"I was beaten regularly by my husband, especially after he was drunk",Commenting
2179,I was regularly beaten by my husband especially when he used to come home drunk,Commenting
2180,this happened when i was on a vacation with my family..and i was shopping..so a guy tried to touch me..i got scared.,Touching /Groping
2181,once when waiting for a train..at the dadar station..i saw a man staring at me continuously..he didn't stop even when i gave him gold glares,Ogling/Facial Expressions/Staring
2182,i was once out with my friends for a movie..so while in the theater a guy sitting next to me..was trying to touch my hand..it freaked me out,Touching /Groping
2183,Two guys were secretly taking our(my friend) pictures and also blowing whistles,Catcalls/Whistles
2184,"in the night,there is extremely poor streest lighting and very unsafe to cross  the ground",Others
2185,saw 2 men on a pulsar snatching a woman's neck piece and earrings.,Chain Snatching
2186,When i got down from the metro one of the guy also got down who had been staring at me followed me till i boarded a bus.,Stalking
2187,On metro station i was waiting for my metro when few guys standing a little far away started whistling looking at me.,Catcalls/Whistles
2188,"While i was coming from my dance class, few guys on bike followed me till home and commented.",Stalking
2189,i was waiting on the station when a guy behind me started getting closer and kept on brushing his hand on my waist or arms. first i tried to move away but as it continued i immediately gave him a look and told him straight away.,Touching /Groping
2190,due to lack of street light it is difficult to go out alone after 8 and many passerby take advantage of this.,Others
2191,few boys on the end of the road started whistling while i was walking past them.,Catcalls/Whistles
2192,while i was roaming around one of the guy started to comment.,Commenting
2193,"while i was going back to my place, one of the boy started following me which scared me a lot.",Stalking
2194,Me and my freinds were sitting and one of the guy there was first looking at us and then started taking our picture.,Taking pictures
2195,A middle aged man sitting beside  me in the auto ws intentionally trying to touch me through his fake activities like throwing packets or trying to pull the plastics present on both the side of the auto for rains on a sunny day.,Commenting
2196,An auto driver was trying to harass one of my friend. Number of eve teasers are increasing,Commenting
2197,a group of 3 guys started whistling when i was walking from my college to station,Catcalls/Whistles
2198,I visited this place to see for relatives in night and it was so unsafe there.,Others
2199,I and Kamalakshi came outside of the college at around 1 or 2 pm. We were heading towards the ATM. Though the Atm near our college wasn't working so we were going to khandagiri.  We hadn't yet crossed the ghatikia petrol pump and suddenly Kamal slowed down became a bit unbalanced and got her scooty off the road. At that time a bolero crossed us and a person with shoulder length hair was sitting at the window stretching his hand in the air. Later on Kamal told me that when she was riding she saw in the mirror that the person took out sperms from his pubes and tried to wipe that off on me . That's why she got off the road.,Touching /Groping
2200,i was in my colony when some boys came and commented something bad about me,Commenting
2201,i was in my colony when few boys started commenting on me and then i left.,Commenting
2202,I was on my regular evening walk when some guys started following me. They started clicking my pictures and passing inappropriate comments.,Catcalls/Whistles
2203,I was in a rickshaw when suddenly two guys started following me on a bike. They started whistling and passing inappropriate comments.,Catcalls/Whistles
2204,"I had been to Bali for a vaccation with my family, I came out of my hotel prior my family, wanting to click pictures and then a car driver says &quot; I love to fuck Indians&quot;. I was so furious, I went back to the hotel and his cheap mentality ruined one fun day of my trip.",Sexual Invites
2205,I was on my regular evening walk when there was this gang who started following me. They were passing inappropriate comments and started taking my pictures.,Commenting
2206,I was in a rickshaw when suddenly two boys started following me on a bike and were  whistling and passing cheap comments,Catcalls/Whistles
2207,I was being followed by a man on bike.,Commenting
2208,Being teased by random men.,Commenting
2209,"i was walking to my college, and this guy startedfollowinhg me",Stalking
2210,"snatched my chain,near the mandir",Chain Snatching
2211,i came out of apna bazzar and i was waiting for an auto and on a bike a guy starts whistling,Catcalls/Whistles
2212,shamelssly clicking pictures of women,Taking pictures
2213,"i just came out of natures basket, and suddenly a guy says&quot; chalo aapko ghar le jata hoon&quot;",Commenting
2214,whistling and kissing actions,Catcalls/Whistles
2215,I was being followed by 2 men on a bike till this location.,Ogling/Facial Expressions/Staring
2216,i was with two of my friends and two guys in their late teens wereclicking pics anf following us,Stalking
2217,this incident occurred when my aunt and her family were shopping at a mall where she found few boys trying to take inappropriate pics.,Taking pictures
2218,once i was walking down the street..where i saw a group of boys chit chatting and laughing as i crossed them over they started calling names and singing to gain my attention.,Catcalls/Whistles
2219,tnagar is a busy street..it is even more busier during festive seasons..so during one such festive season..while shopping i felt someone trying to touch my stomach...when i resisted it..and looked at him..he left that place.,Touching /Groping
2220,boys comment and stalk girls.,Commenting
2221,"I was walking towards the station around 8:30 am, this guy on his bike drove real close to me and touched my hand and his expressions were also so cheap",Commenting
2222,sexual harrasement during office hours,Commenting
2223,This street is home to several people and the lighting condition here is horrible. There are barely any street lights and the little amount of light that is found comes from the shops' lights. Even the roads are not good and get flooded by a little drizzle.,Others
2224,I was walking with a guy and 2 guys commented on us.,Commenting
2225,whistling near wadala,Catcalls/Whistles
2226,"Four or five recent events of violence and abuse, and the public reaction to them, merit comment. First, it is amazing how distinctions are being drawn by many between language used inside the parliament and outside. Let me begin with unreservedly condemning Defence minister, Khwaja Asif’s, comment on opposition leader Shireen Mazari’s voice; his rhetorical request to make her voice feminine and the use of the term ‘truck trolley’.

Mohammed Hanif’s insightful piece on the subject correctly identifies these remarks as harking to patriarchal expectations of how everything ‘woman’ should conform to a standard set by a male; how men in this society feel —— to dictate terms, behaviour, dress and even tenor of voice to a woman. From anyone else it would have been bad enough, but from a member of parliament and a cabinet minister, everyone expects a higher standard of restraint and control over his anger.

However, the seriousness with which this is being debated and protested in the parliament makes me a little perplexed. When the same parliamentarians indulge in, and see, much worse language and behaviour outside the parliament in public spaces, on national television and social media, how do they expect to have it not creep into the house? Aren’t they the same people, talking about each other outside and inside the house? Indeed, aren’t their supporters and we all a part of the same society? I was dismayed, but not too surprised by the altercation in the house between Ms Mazari and Khwaja Asif.

I am more surprised at the indignation, given that the indignant people know very well how low the standards of any kind of discourse have plunged all around us.

The same PTI, that is up in arms right now (rightly), has never bothered to condemn or be indignant about the utterly obscene abuse hurled at their sisters and fellow citizens who oppose them politically. One is witness to such language, abuse and misogyny on social media and television day in and day out. PTI leaders’ language and abuse for their male opponents from atop containers and on television shows is no secret either, hence I do not feel the need to repeat it here.

Other parties, too, have been guilty of similar behaviour, though not to the same cesspit extent. But they certainly are guilty of acting surprised when something like this happens on the floor of the house. They should have been condemning and boycotting those who have played an active part in dragging standards of discourse so low that one is afraid to even speak for fear of abuse.

One of the guilty parties is certainly the media. Everyone knows which channels or show hosts love to create situations that might give dividends in the shape of some abuse, salacious slurs, a few slaps, punches or glasses of water and coffee thrown about. Why then do those who claim to be above it all not boycott these channels and shows? Why does every MNA, MPA, advisor, activist, economist etc.

still behave like a media whore and grace shows of hosts they know encourage abuse, fights and bad language to obtain ‘ratings’? Why do they act all sanctimonious now?

It is appalling that leading lights of several opposition parties continued to spend all their energies and time, and use up all of the media’s energy and time on the so called TORs for the Panama Leaks commission day in and day out. It seemed as if nothing else was happening in the country; as if everyday there was not a report of a woman being burnt alive for honour, or some other equally horrifying or serious issue that could merit their attention. But the self serving focus on going after the Prime Minister to the exclusion of all other duties was disgusting to say the least.

One’s ears oozed with pus at the non-stop months long hyena shrieking press conferences and appearances on TV shows on the Panama TORs. It was only when the fourth girl in four days was murdered that leader of the Senate, Raza Rabbani, took notice and tasked the senate to do something about it – after which everyone made it their ‘cause’. This is the level of apathy towards the plight of the people generally, and to the growing violence towards women.

Is our rulers’ apathy, and the resultant impunity from violence against women, exactly not the reason that Senator Hamdullah (I can’t believe he is a senator) of the JUI thought he could, in the presence of several people in the studio, and on national television, level not only the most explicit, pornographic and filthy abuse at well known rights defender and columnist Marvi Sirmed, but also thought he could beat her up? What he did, and tried to do, in public should demonstrate to everyone the level of apathy towards violence against women in this country; it should demonstrate to everyone what is going on behind closed doors. If this man thought he could, and would, get away with what he was doing, it should tell all something about the state of this society.

So fearless is the JUI, and sure of support from the ruling party and the government of the day, that after the day before’s assault on Marvi Sirmed, Hafiz Uzaifa Shakir of JUI-F yesterday released a video saying, “hum Pashtun gali ka jawab goli se dete hein” (we Pashtun respond to abuse with bullets).

It is tragic and heartbreaking that not a single PML-N leader has publicly condemned the JUI senator for reasons of political expediency. It is brave women like Marvi Sirmed who stand to support elected governments; it is people like her who stand to protect the democratic project; but the ‘democrats’ we support and protect forsake us at these crunch times that are true tests of democratic norms and values.",Commenting
2227,"This episode happened recently to  one of my friend who stays in this area. She along with one more friend was travelling in a rickshaw to the market. she was too busy chatting with her friend that she didnt even realise the surroundings.suddenly when the rickshaw was about to left turn two men in high speed came near the richshaw, before the rickshaw man could use the brake the men snacthed the chain of my friend and ran away. In that jerk the richshaw tumbled down and she got hurt in her knees and elbow and also her back neck as the snacthers pulled the chain forcefully. no one came to help,even thou there were passer bys.",Chain Snatching
2228,"It happened in the month of May 2014. I was waiting for bus to go home back from duty.I had to wait for more than half an hour. There were three to four members scattered in the bus stop.suddenly an auto passed by my side. I gave way and stood aside just to see who all are there in that auto.I could not see any passengers .suddenly that auto stopped just 2-3 yards away from me.The auto man got down and started facing me and calling me with a mischievous smile. I got scared. Seeing  my fearful face he came nearer. I was helpless. there were no ladies standing near me. i was so scared so scared ,praying and calling God inside silently. All of a sudden my bus came and i just rushed into it. I was saved .Thank GOd. I came home and told my husband he asked me if i noted the number of the autorickshaw. How can i at that time .My mind was not working out of fear. nothing could be done. At times these are pathetic situation for Ladies .",Sexual Invites
2229,I had experience while walking in the road.,Catcalls/Whistles
2230,i had experience while in bus boys  touching the body very disgusting.,Touching /Groping
2231,"I had experience while travelling in train.In the reserved compartment mostly during night time boys getting in and out in each station and staring.
Nowadays scary to travel in train.
why in reserved compartment no continue security .",Ogling/Facial Expressions/Staring
2232,"i had a experience while travelling in train during night hours in reserved compartment boys getting in and out each station and showing facial expression.
nowdays i am scared to travel in train.",Catcalls/Whistles
2233,"This took place at the beach, a group of young men",Catcalls/Whistles
